node,x,y
"Core, John E.",92.877,-83.723
"Corielli, Francesco",270.55,-83.2
"Cornelli, Francesca",-39.547,-1.552
"Cornett, Marcia Millon",55.502,-33.08
"Corrado, Charles J.",286.78,41.136
"Corwin, Shane A.",-46.089,-108.48
"Cosci, Stefania",307.59,143.3
"Cosset, Jean Claude",51.245,-133.2
"Cosslett, Stephen R.",201.7,-220.2
"Cotter, James F.",-169.34,-238.51
"Coughenour, Jay F.",657.03,635.86
"Courteau, Lucie",-122.85,-271.86
"Coval, Joshua D.",-13.571,-91.806
"Covitz, Daniel M.",47.451,78.667
"Cowan, Arnold Richard",8.2579,-161.96
"Cowen, Tyler",-33.135,140.29
"Cox, Don R.",256.61,-242.79
"Crane, Dwight B.",91.871,6.2366
"Crespí, Rafel",223.89,-94.2
"Crew, Nicholas",-222.28,6.9441
"Croitoru, Benjamin",-98.109,150.81
"Crosby, Mark",99.098,339.25
"Croson, Rachel T.A.",-79.86,-193.64
"Croushore, Dean",265.47,4.7616
"Crucini, Mario J.",257.4,57.448
"Cukierman, Alex",-207.63,319.08
"Cumby, Robert E.",-238.44,81.798
"Cummins, J. David",81.429,60.757
"Cunningham, Elizabeth J.",-197.27,-389.42
"Cuny, Charles J.",-105.21,-110.67
"Cuoco, Domenico",-186.26,71.769
"Curran, Christopher",288.1,-28.248
"Cuthbertson, Keith",-150.22,-406.45
"Cvitanić, Jakša",-203.95,73.491
"Cybo-Ottone, Alberto",-57.252,82.264
"Cyree, Ken B.",845.62,308.91
"D'Auria, Claudio",89.845,38.776
"D'Mello, Ranjan",-63.334,-180.85
"D'Souza, Julia M.",-326.37,601.67
"D'Souza, Juliet",32.71,-202.38
DANIEL DUMAS DE RAULY,-291.12,155.41
DANIEL KLEIN,-328.71,-11.089
DARIN CLAY,34.556,67.311
DAVID BARKER,-21.675,-233.03
DAVID BOOTH,42.065,-146.44
DAVID CHRISTOPHERSON,236.76,9.4435
DAVID FORBES,136.54,-303.42
DAVID FORD,-79.504,170.05
DAVID HARVEY,-187.77,-175.26
DAVID HEIKE,-29.11,-219.85
DAVID PYLE,41.067,-218.65
DAVID RAVIA,-262.73,76.115
DAVID ROBERTS,262.07,652.52
DAVID STIERMAN,-188.13,-65.809
DAVID STOCKTON,198.43,344.03
DAVID WALLS,95.794,-243.66
DAVID WENSEL,54.841,-275.55
DAVID WILLIAMS,-170.35,-278.07
DEBORAH JAN KALMUS,248.39,106.43
DEBRA JITTER,-245.6,-208.02
DENIS ALEXANDRE,-214.43,64.27
DENNIS HANNO,49.439,101.27
DICK OBERUC,-224.77,-159.05
DIDIER DAVYDOFF,-110.47,-249.97
DIMITRI FAGUET,-281.18,9.3477
DOMINGO TAVELLA,-297.03,273.76
DON BOWLIN,147.26,-209.56
DONALD F MORRISON,199.37,25.885
DONALD KOHN,229.7,322.91
DOROTHY SOBOL,51.159,237.69
DOUG SANZONE,-190.87,57.176
"DREYFUS, JEAN FRANCOIS",229.28,8.014
"Da Costa Werlang, Sérgio Ribeiro",-126.27,158.91
"Da Rin, Marco",72.072,149.68
"Dabora, Emil M.",-88.306,62.565
"Dacorogna, Michel M.",-268.06,33.165
