node,x,y
"Cabral, Luís M.B.",-90.056,-102.38
"Cadenillas, Abel",83.163,-112.87
"Caglio, Cecilia",206.7,-5.8832
"Cai, Fang",209.06,-28.551
"Cai, Hongbin",-19.357,194.39
"Cai, Jun",2.0672,247.13
"Caiazza, Stefano",118.13,-299.32
"Cakici, Nusret",-94.531,-21.757
"Calantone, Roger J.",188.25,213.32
"Calcagno, Riccardo",-45.289,178.07
"Calem, Paul S.",-139.33,-158.13
"Callaghan, Sandra Renfro",192.68,119.53
"Callahan, Tyrone W.",103.67,-85.372
"Calomiris, Charles W.",-2.5841,-102.98
"Calvo, Guillermo A.",127.44,-225.86
"Cameron, Stephen V.",98.016,242.24
"Camp, Graeme",231.21,-98.85
"Campa, José Manuel",-105.3,-185.35
"Campbell, Jeffrey R.",-33.429,-350.32
"Campbell, John Y.",-69.685,8.0763
"Campbell, Terry L.",111.33,-128.08
"Campello, Murillo",38.272,-20.206
"Candelon, Bertrand",105.88,293.06
"Canhoto, Ana Isabel",74.799,-260.21
"Cannavan, Damien",-63.676,98.941
"Cannella, Bert",265.72,-87.192
"Canner, Glenn B.",-169.33,-118.33
"Canova, Fabio",-273.12,-24.471
"Cantillo, Miguel",-31.92,-180.69
"Cantor, Richard",-27.109,-108.6
"Cao, Charles Q.",-63.738,171.78
"Cao, H. Henry",18.113,87.015
"Cao, Melanie",117.79,124.77
"Caporale, Tony",-306.8,159.01
"Capozza, Dennis R.",-207.92,-224.96
"Caprio, Gerard Jr",-23.193,-110.16
"Carare, Alina",-362.65,5.4456
"Carbó, Santiago",-4.5809,-203.65
"Cardia, Emanuela",-299.85,123.12
"Carey, Mark",-36.861,-134.74
"Carhart, Mark M.",-39.62,212.34
"Carkovic, Maria",50.62,-171.92
"Carletti, Elena",-50.483,-135.43
"Carlin, Thomas A.",-79.6,-308.73
"Carlin, Wendy",20.764,-125.46
"Carling, Kenneth",-375.0,49.155
"Carlson, John A.",159.34,-184.44
"Carlson, Murray",9.1642,0.12697
"Carlstrom, Charles T.",-262.34,-302.51
"Carow, Kenneth A.",-677.67,-774.45
"Carpenter, Jennifer N.",36.415,107.74
"Carpenter, Seth B.",-385.9,125.3
"Carr, Peter P.",-67.064,116.1
"Carrieri, Francesca",109.03,122.33
"Carroll, Christopher D.",-197.74,62.897
"Carstens, Agustín G.",-98.493,-401.57
"Carter, David A.",15.5,-154.63
"Carter, Mary Ellen",147.14,-72.595
"Caruana, Guillermo",46.83,-256.36
"Carvalho, Carlos",-809.6,-851.68
"Carverhill, Andrew P.",-175.63,135.4
"Casamatta, Catherine",123.09,37.135
"Casassus, Jaime",99.171,164.74
"Case, Brad",-75.382,-182.98
"Caserta, Silvia",-311.07,-244.45
"Cassiman, Bruno",210.34,-224.61
"Castellano, Rosella",80.687,-313.62
"Castro, Rui",-329.7,-20.628
"Casu, Barbara",-167.77,-240.58
"Catarineu-Rabell, Eva",-212.49,-269.6
"Caudill, Steven B.",-285.67,-729.69
"Cauley, Stephen Day",-2.9773,139.56
"Cavalluzzo, Ken S.",209.2,66.568
"Caves, Richard E.",-96.935,-233.37
"Cebenoyan, A. Sinan",23.335,-180.68
"Cecchetti, Stephen G.",-65.913,-78.268
"Celentani, Marco",139.56,-134.45
"Cerasi, Vittoria",-9.7576,-278.94
